"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_14.5496",215.394748261472,1.77573678181706,0.249398275696024,7.12008443868071,1.07860963378816e-12,2.0040566995784e-09,"sp|Q06A37|CHD7_CHICK",0,"Chromodomain-helicase-DNA-binding protein 7 OS=Gallus gallus GN=CHD7 PE=2 SV=1","tr|A0A2B4SR68|A0A2B4SR68_STYPI",0,"Chromodomain-helicase-DNA-binding protein 7 OS=Stylophora pistillata GN=Chd7 PE=4 SV=1","ref|XP_020631198.1|",0,"chromodomain-helicase-DNA-binding protein 8-like isoform X2 [Orbicella faveolata]","GO:0005730; GO:0005654; GO:0005524; GO:0004386; GO:1990841; GO:0000978; GO:0007512; GO:0007628; GO:0035909; GO:0036302; GO:0008015; GO:0001974; GO:0060411; GO:0006338; GO:0050890; GO:0016569; GO:0035116; GO:0060429; GO:0060324; GO:0030540; GO:0060384; GO:0043584; GO:0042048; GO:0021772; GO:0021553; GO:0060021; GO:0040018; GO:0045944; GO:0060123; GO:0050767; GO:0010880; GO:0060041; GO:0003226; GO:0006364; GO:0048752; GO:0007605; GO:0001501; GO:0030217; GO:0006351; GO:0003222","GO:0005634; GO:0005524; GO:0003677; GO:0004386"
"evm.TU.chromosome_10.2346",316.668537444772,1.16709949195419,0.180889566377371,6.45200005355419,1.10383540164733e-10,1.13940343125596e-07,"sp|Q5ZMJ9|SRRM1_CHICK",1.6e-59,"Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1","tr|A0A2B4SWK8|A0A2B4SWK8_STYPI",0,"Serine/arginine repetitive matrix protein 1 OS=Stylophora pistillata GN=SRRM1 PE=4 SV=1","ref|XP_020622018.1|",0,"serine/arginine repetitive matrix protein 1-like isoform X1 [Orbicella faveolata]","GO:0005634; GO:0006397; GO:0008380","GO:0006397"
"evm.TU.chromosome_14.7224",94.5393963637326,1.16888514020609,0.187111423258193,6.24700042280771,4.18409928524717e-10,3.53366203272238e-07,"sp|P11387|TOP1_HUMAN",0,"DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2","tr|A0A2B4SBR9|A0A2B4SBR9_STYPI",0,"DNA topoisomerase 1 OS=Stylophora pistillata GN=TOP1 PE=4 SV=1","gb|PFX27321.1|",0,"DNA topoisomerase I, mitochondrial-like [Stylophora pistillata]","GO:0009330; GO:0001650; GO:0005730; GO:0005654; GO:0005634; GO:0000932; GO:0043204; GO:0032993; GO:0031298; GO:0005524; GO:0003682; GO:0001046; GO:0003677; GO:0003917; GO:0003690; GO:0019904; GO:0004674; GO:0003723; GO:0003697; GO:0097100; GO:0006338; GO:0007059; GO:0032922; GO:0007623; GO:0006260; GO:0006265; GO:0040016; GO:0018105; GO:0016310; GO:0012501; GO:0016925; GO:0042493; GO:0016032","GO:0005694; GO:0003677; GO:0003917; GO:0006265"
"evm.TU.chromosome_12.2154",117.190308745157,1.92524895693633,0.310909568739469,6.1923116896721,5.92881622338487e-10,4.58989189293712e-07,"sp|O13024|INCEA_XENLA",1.32e-46,"Inner centromere protein A OS=Xenopus laevis GN=incenp-a PE=1 SV=1","tr|A0A2B4S851|A0A2B4S851_STYPI",0,"Inner centromere protein OS=Stylophora pistillata GN=INCENP PE=4 SV=1","ref|XP_020606102.1|",0,"inner centromere protein-like [Orbicella faveolata]","GO:0005694; GO:0032133; GO:0000775; GO:0000777; GO:0005737; GO:0005874; GO:0030496; GO:0005634; GO:0005721; GO:0005819; GO:0019901; GO:0007059; GO:0000910; GO:0051225",""
"evm.TU.chromosome_1.682",4.76064310986722,4.25478502864218,0.713453610593905,5.96364636111427,2.46670298099352e-09,1.52771137956199e-06,"sp|Q8CCG4|DPPA4_MOUSE",3.14e-08,"Developmental pluripotency-associated protein 4 OS=Mus musculus GN=Dppa4 PE=1 SV=2","tr|A0A2B4S9W5|A0A2B4S9W5_STYPI",9.44e-134,"Developmental pluripotency-associated protein 4 OS=Stylophora pistillata GN=Dppa4 PE=4 SV=1","ref|XP_022787532.1|",5.28e-155,"ras guanine nucleotide exchange factor Q-like isoform X1 [Stylophora pistillata]","GO:0005634; GO:0060484; GO:0006355; GO:0006351",""
"evm.TU.chromosome_3.295",13.9628583062344,3.6764318941645,0.619473528186817,5.93476835874702,2.94260655391047e-09,1.70855093036427e-06,"sp|Q9PVW8|SAL_SILAS",2.64e-39,"Rhamnose-binding lectin OS=Silurus asotus PE=1 SV=1","tr|A0A2B4SLP0|A0A2B4SLP0_STYPI",4.59e-72,"L-rhamnose-binding lectin CSL3 OS=Stylophora pistillata GN=AWC38_SpisGene4400 PE=4 SV=1","ref|XP_022788045.1|",9.8e-129,"rhamnose-binding lectin-like [Stylophora pistillata]","GO:0005576; GO:0030246","GO:0030246"
"evm.TU.chromosome_13.2771",236.89783915586,0.881304076787579,0.149043418976587,5.91306937829991,3.35790654379146e-09,1.73305287732348e-06,"sp|Q58F21|BRDT_HUMAN",7.9e-167,"Bromodomain testis-specific protein OS=Homo sapiens GN=BRDT PE=1 SV=4","tr|A0A2B4RI17|A0A2B4RI17_STYPI",0,"Bromodomain-containing protein 2 OS=Stylophora pistillata GN=Brd2 PE=4 SV=1","ref|XP_020629236.1|",0,"bromodomain-containing protein 3-like isoform X4 [Orbicella faveolata]","GO:0005634; GO:0042393; GO:0070577; GO:0003713; GO:0030154; GO:0006338; GO:0016569; GO:0001207; GO:0007141; GO:0007140; GO:0006397; GO:0051039; GO:0043484; GO:0006355; GO:0008380; GO:0007283; GO:0006351",""
"evm.TU.chromosome_11.933",126.081606590316,-1.09418833744008,0.190719200618694,-5.73716927236755,9.6272026780632e-09,4.25889108948605e-06,"sp|O46638|FKBP3_RABIT",4.93e-80,"Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Oryctolagus cuniculus GN=FKBP3 PE=2 SV=2","tr|A0A2B4RSH9|A0A2B4RSH9_STYPI",7.69e-150,"Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Stylophora pistillata GN=FKBP3 PE=4 SV=1","ref|XP_020627448.1|",1.32e-152,"peptidyl-prolyl cis-trans isomerase FKBP3-like [Orbicella faveolata]","GO:0005634; GO:0003755","GO:0003755"
"evm.TU.chromosome_9.100",203.175347544541,1.19477109988885,0.214166607042854,5.57869929577666,2.42323729752204e-08,9.78777151912161e-06,"sp|Q9UIF8|BAZ2B_HUMAN",0,"Bromodomain adjacent to zinc finger domain protein 2B OS=Homo sapiens GN=BAZ2B PE=1 SV=3","tr|A0A2B4SV47|A0A2B4SV47_STYPI",0,"Bromodomain adjacent to zinc finger domain protein 2A OS=Stylophora pistillata GN=Baz2a PE=4 SV=1","ref|XP_020615842.1|",0,"bromodomain adjacent to zinc finger domain protein 2B-like [Orbicella faveolata]","GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351","GO:0005634; GO:0003677; GO:0046872"
"evm.TU.chromosome_5.98",147.313330489839,1.03546409307643,0.186666986727552,5.54711955889517,2.90414165127468e-08,1.07917903761367e-05,"sp|Q3UHK8|TNR6A_MOUSE",8.07e-22,"Trinucleotide repeat-containing gene 6A protein OS=Mus musculus GN=Tnrc6a PE=2 SV=2","tr|A0A2B4RTS3|A0A2B4RTS3_STYPI",0,"Trinucleotide repeat-containing gene 6A protein OS=Stylophora pistillata GN=Tnrc6a PE=4 SV=1","gb|PFX20219.1|",0,"trinucleotide repeat-containing gene 6A protein-like [Stylophora pistillata]","GO:0005794; GO:0043231; GO:0035068; GO:0005654; GO:0000932; GO:0048471; GO:0032947; GO:0003723; GO:0009267; GO:0035195; GO:0031047; GO:0032507; GO:0035278; GO:1900153; GO:0060213","GO:0003723; GO:0035278"
